nick_saraceni	@alsil23 @Stanford @NDFootball Have a great time kids. #bestclass. #bestteacher
CMasden7	@ericschmidt @Stanford @FBI @TheJusticeDept @nytimes @NewYorker @UCBerkeley @CIA @DARPA @CarnegieMellon @Harvard… https://t.co/ioX4kmM4Dn
CMasden7	@ericschmidt @Stanford @FBI @TheJusticeDept @nytimes @NewYorker @UCBerkeley @CIA @DARPA @CarnegieMellon @Harvard… https://t.co/pawbgLCkxH
CMasden7	@ericschmidt @Stanford @FBI @TheJusticeDept @nytimes @NewYorker @UCBerkeley @CIA @DARPA @CarnegieMellon… https://t.co/o2R8inkQal
CMasden7	@ericschmidt @Stanford @FBI @TheJusticeDept @nytimes @NewYorker @UCBerkeley and Eric you love operating on other pe… https://t.co/n7jqpW8iD6
CMasden7	@ericschmidt @Stanford @FBI @TheJusticeDept @nytimes @NewYorker Eric that career was my Disney okay I chose what I… https://t.co/w4JgvFbNeR
CMasden7	@ericschmidt @Stanford @FBI @TheJusticeDept @nytimes @NewYorker and you started trying to draw attention to me Eric… https://t.co/hoXVFL9KOB
CMasden7	@ericschmidt @Stanford @FBI @TheJusticeDept @nytimes @NewYorker he started stalking me Eric and it's just really up… https://t.co/ooCFlyRSVK
CMasden7	@ericschmidt @Stanford @FBI @TheJusticeDept @nytimes @NewYorker it's not Disney Eric that was my career I mean I wo… https://t.co/lypWpMqlkP
CMasden7	@ericschmidt @Stanford @FBI @TheJusticeDept @nytimes @NewYorker and it seems Eric like you've been trying to test t… https://t.co/PDB3otBZM0
CMasden7	@ericschmidt @Stanford @fbi @thejusticedept @nytimes @newyorker he just injected rallying I mean like it seem like… https://t.co/OT04hCtxLv
CMasden7	@ericschmidt @Stanford I mean you really destroyed my thesis Eric you did not want me to deploy my system you did n… https://t.co/DRL9KOaESJ
CMasden7	@ericschmidt I don't know why you keep injecting @Stanford Eric was Stanford looking at hiring me I'm just not sure… https://t.co/8bCdlJLDeJ
stickerladysv	@Stanford U: MY UNCLE VINNIE FROM ITALY 🇮🇹 = SANTANA ROW ~ CINE ARTS THEATRES  🎭 ~ SAN JOSE/SANTA CLARA ~ CALIFORNI… https://t.co/bJxFYzBwt5
CMasden7	@Stanford @CarnegieMellon @fbi @thejusticedept @nytimes he keeps injecting random names of Evergreen students so he… https://t.co/hSagLOv3ox
CMasden7	@stanford @carnegiemellon and I do expect letters of apologies from your departments and your faculty it's not acce… https://t.co/B7ccoq5VGN
NotreDameNaples	@NDFootball regular season finale tonight at 8! #Irish are seeking their 10th win @Stanford ! 🍀🏈👍🏻 Come join the ma… https://t.co/CjsaUV2GvW
CMasden7	@stanford @ucberkeley I want to let you know that I was murdered because I didn't go to Stanford for undergrad and… https://t.co/hoY2j08Tqz
stickerladysv	@Stanford U: USA 🇺🇸 AMERICA! STARBUCKS has •GLOBAL• WORLD 🌎 PEOPLE FROM Cuba 🇨🇺 + Brazil 🇧🇷 + Costa Rico + Honduras… https://t.co/OtIOENpYgu
stickerladysv	@Stanford U: MY USA 🇺🇸 AMERICAN RELATIVES (Aunts + Uncles + Cousins ) LIVE IN USA 🇺🇸 STATES: Missouri + Illinois +… https://t.co/CYkCV90KdE
rebeccayu	It is time to break the #BambooCeiling and show that #Asians won’t show a “deference to authority and an aversion t… https://t.co/O8CMSY45BI
MikeLibman	Started my machine learning course today from @Stanford, taught by @AndrewYNg. The next 3 months are going to be am… https://t.co/bqJFWS4arV
stickerladysv	@Stanford U: WHEN MY RELATIVES COME INTO TOWN FOR THE HOLIDAYS MEANS = 1. MY MALE •COUSINS• FROM ALPINE SNOW ⛄️ SWI… https://t.co/2Gk1Pajj67
PennIUR	Rent-control policies likely ‘fueled’ San Francisco gentrification, @Stanford economist and #PennIURScholar Rebecca… https://t.co/7mer44kxjP
stickerladysv	@Stanford U: USA 🇺🇸 STATE: CALIFORNIA IS FULL OF USA AMERICAN PEOPLE WITH A CALIFORNIA SUN ☀️ TAN (MEDIUM SKIN TONE… https://t.co/yRkRIahWF3
DaStanfordTree	@innerideas2017 @theDisforDank @Stanford Dude update your phone
BasedPoland	@Freedomalternat @Stanford I’ve seen a you retweeting Hanif Bali and Jan Sjunnesson a couple of times. Any chance t… https://t.co/B2tulRvm9H
Boston_Biotech	RT @mmw_lmw: #ClonalStructure of #TCR Repertoire in #BreastCancer: Clonotype Abundance | SteveQuake @Stanford @pnas https://t.co/UujaKQgGRp…
MEN_talityKE	RT @golemproject: Last night we were honoured to speak at @Stanford to 200 strong audience at their 1st official #blockchain meetup alongsi…
LCellini	@soledadobrien @JoyAnnReid @GOP @CondoleezzaRice @StateDept @KingSalman @Iran @JoeNBC @Morning_Joe @RumsfeldOffice… https://t.co/qclpVsCAsc
MENTOR_Hq	More on #mosquito tracking app #Abuzz - which identifies species according to the sound of their wingbeat &amp; maps lo… https://t.co/m9aSZpRFla
zuchtgestalt	Cameron Blevins, a former student at the @Stanford @literarylab, weighs in on the accusations against Franco Morett… https://t.co/OJqdYhJ0BF
BristolComSense	RT @JamisonPridgen: @McFaul @Stanford Fascists shut down political opponents ability to freely speak and assemble. It's close enough
EgbertdeHoop48	RT @Wdekanter: Kings of concealment &amp; racketeers : by Professor Proctor @Stanford   @nytimes #bigtobacco   https://t.co/YdtEBTDYH5
Frank_E_Anton	RT @MIT_CSAIL: Today in Internet history: the first ARPANET link was established between @UCLA &amp; @Stanford #otd in 1969: https://t.co/w9F2d…
Wdekanter	RT @Wdekanter: Kings of concealment &amp; racketeers : by Professor Proctor @Stanford   @nytimes #bigtobacco   https://t.co/YdtEBTDYH5
twiddledenotdum	@roo_kanger @dave67_david @mivoicetoo @BehrouzBoochani @Stanford Here is a link to Milgram's experiment. I think yo… https://t.co/6FoowamdGr
twiddledenotdum	@roo_kanger @dave67_david @mivoicetoo @BehrouzBoochani @Stanford It's a very interesting subject which is why I spe… https://t.co/dO8R9yDjD4
twiddledenotdum	@roo_kanger @dave67_david @mivoicetoo @BehrouzBoochani @Stanford The connection between power &amp; cruelty is not a di… https://t.co/yq4yjo6jMQ
twiddledenotdum	@roo_kanger @dave67_david @mivoicetoo @BehrouzBoochani @Stanford It was frightening how easily people obeyed &amp; vari… https://t.co/YqVaNFamzn
twiddledenotdum	@roo_kanger @dave67_david @mivoicetoo @BehrouzBoochani @Stanford At the time people will still grappling with the p… https://t.co/IgREYwI5EH
Oceanselkie	@mivoicetoo @BehrouzBoochani @Stanford Who would have thought hey. They do say that about history though don't they… https://t.co/3AXDF0Z2VV
twiddledenotdum	@roo_kanger @dave67_david @mivoicetoo @BehrouzBoochani @Stanford The running of prisons varies greatly from place t… https://t.co/BKQSqw84yn
DrPepperBoone18	@NCAASoccer @NCAA @StanfordWSoccer I already knew that @penn_state didn’t have a chance. Way to go @Stanford.
CusidoJordi	#Design for extreme affordability is the best program at @Stanford #social #innovation https://t.co/4TfhKrYPj7
mivoicetoo	@Oceanselkie @BehrouzBoochani @Stanford Yes, I would have said very much so.
