jedyorkgoat	@bdepouw09 @OhioState @NCAA suck my ass
Katie_Herdman	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
Madison_Feeley	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
TheeOSU90s	@TheRealTRizzo radio guy in Cleveland said he's loyal to the boosters in Columbus he's not even an alumni of my University @OhioState
TylerKyla	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
judgejudyfan14	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
CRastetter	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
HayyyMarden	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
lori_myer	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
OhioStateAlumni	A 4"x4" Block O ornament will make for a great gift for that Buckeye fan in your life!   Proceeds will support… https://t.co/nNmGZHlNqs
OSUengineering	RT @BTNLiveBIG: How @OhioState students are #engineering impact and building hope in rural #Honduras.   https://t.co/EbZNfxCNjz https://t.c…
moz206	@UMich @michiganstateu @OhioState @AuburnU This is more important than rivalries. This is about taking a stance tha… https://t.co/hE5ceSakm1
moz206	@UMich @michiganstateu, @OhioState, @AuburnU, all took a stand against nazism and fascism. Why don’t “Leaders and B… https://t.co/Npg2l6Sl8k
Kiehlcat	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
whitmartin_	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
juge2011	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
EmmaSpinney	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
OSUGlobal	"Prayer Beast" by grad student Steven Kenworthy is Honorable Mention in People in 2017 International Photography Ex… https://t.co/DEwD8Jwy7D
DakotaLeeDilley	But seriously though @OhioState needs to even the count on Presidents of the United States 🇺🇸 TTUN is up 1-0 with P… https://t.co/cecFGgcEiG
NPitak	I saw a @stanleysteemer truck driving around with all of the M's marked out with red tape ❌ if that doesn't scream… https://t.co/LJNaiBjlBA
mkormos933	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
DRCOhio	RT @JROB2: Had fun speaking at @DRCOhio colleague @OhioState Dr Brian Kowalski’s Criminal Justice class on prison violence. Great class! #B…
CJSauer72	@daveyobrien @OhioStAthletics @OSUAthletics @OU_Football @CowboyFB @OhioStateFB @okstate @OhioState How is Lamar not a finalist???
The_ACSP	Meet Morgan Castelein, planning student with @OhioState, and the ACSP Student in the Spotlight!… https://t.co/lmEX9v7nWh
pcjm08	Amazing how swift course of action is identified and taken when white males die, isn't it?  How many rapes on your… https://t.co/ytkNYjktea
Kmo_Morris22	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
Kaplankag	.@OhioStateMed @loopsfoodtruck    at OSU E. Hospital off Broad on 181 Taylor Ave. from 11-2p visit… https://t.co/biFoZWblM4
Colsmfv	.@OhioStateMed @loopsfoodtruck    at OSU E. Hospital off Broad on 181 Taylor Ave. from 11-2p visit… https://t.co/ILO0gScE3Z
OHfoodtruckfind	.@OhioStateMed @loopsfoodtruck    at OSU E. Hospital off Broad on 181 Taylor Ave. from 11-2p visit… https://t.co/eYZq8U7Ev0
mfvsuccess	.@OhioStateMed @loopsfoodtruck    at OSU E. Hospital off Broad on 181 Taylor Ave. from 11-2p visit… https://t.co/sPxNAgEFnU
Colsmfv	.@OhioStateMed @TheBurritoBus   at the spot on John H Herrick Dr just s. of the w. 12th garage from 11-2p visit… https://t.co/rtD9fWOY7L
Kaplankag	.@OhioStateMed @TheBurritoBus   at the spot on John H Herrick Dr just s. of the w. 12th garage from 11-2p visit… https://t.co/ByQ22Tmalw
OHfoodtruckfind	.@OhioStateMed @TheBurritoBus   at the spot on John H Herrick Dr just s. of the w. 12th garage from 11-2p visit… https://t.co/eAo0LBhpoo
mfvsuccess	.@OhioStateMed @TheBurritoBus   at the spot on John H Herrick Dr just s. of the w. 12th garage from 11-2p visit… https://t.co/oeMq9P0Xsg
Liftedforlife71	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
MeganPhillips10	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
grace_macnamara	RT @timesgazette: .@Ashland_Arrows swimming phenom Hudson McDaniel commits to The Ohio State University @ohiostate. https://t.co/1SelNSORSs
HOOSIERBOOMER	RT @OhioState: Tomorrow is the last day to #beatTTUN! See how you can help us in the @RedCross #BloodBattle: https://t.co/u21vLnjDI3 https:…
WashFellowship	#YALI2017 Fellow Dr. Damilola Akinsulire from #Nigeria has worked to improve health outcomes &amp; raise awareness abou… https://t.co/IqoJJzMww5
justynakorn	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
Volterra_ecosys	Soil balancing, interesting approach to move away from herbicides and deal with weeds responsably. Dr Doug Doohan… https://t.co/cMRZC4ZZhV
HaqimiMohamad	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
johnnyk2016	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
k_yetzer	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
austinalyn_	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
___Cgar___	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
mzceelee	RT @OhioState: It was a 🌧 soggy day at #theShoe, but that didn’t keep senior #Buckeyes from one final Carmen Ohio with their fans. 🏈 #gobuc…
J_CubD	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
jmel297	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
__ginga_ninja	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
Pisces_ofMe	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
_CharlesNCharge	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
syaira_richards	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
ItzKevinGuys	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
MizCole2U	RT @OhioState: Tomorrow is the last day to #beatTTUN! See how you can help us in the @RedCross #BloodBattle: https://t.co/u21vLnjDI3 https:…
CameronPugh34	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
mp29811	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
The_Fischster	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
swagger1332	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
AllyMcfarling	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
kalynferguson	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
NataliaLakee	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
taylorhostetler	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
gobuxgal	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
MarissaDimond	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
DrewRector	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
czayia	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
artguy418	RT @RedCrossBloodOH: OSU is up by just 50 blood donations in the @RedCrossOSU @OhioState vs Xichigan #BloodBattle! Either could still win.…
cassidymariiee	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
ronryavec	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
travischaney721	Hey @KingJames, you got employees closing early telling people they have no power at @BlazePizza on @OhioState camp… https://t.co/LPZVOFHzFa
LPC_OSU	Finally some of that construction on Neil Ave is done - look at shiny Oxley Hall taking in the morning sun! Now we… https://t.co/KKLi10EjPP
marry_grrace	@OhioState please accept me i love you so much https://t.co/Bkp2py7GGC
waydelsew	RT @wosunews: BREAKING: @OhioState has suspended 37 fraternities, effective immediately, after investigations into alcohol and hazing incid…
GoBucks319	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
kay_muurr	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
nicolemae172	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
allee_kerstyn	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
Jpdavi4	RT @osuhistorydept: Hot Off the Press! The Rise and Fall of Khoqand, 1709–1876: Central Asia in the Global Age by @OhioState History Prof.…
_OScience	Black holes have “firewalls” that destroy all they touch has a loophole https://t.co/LrqrIURbFl @_OScience… https://t.co/EVpJlz29zI
JessicaAkers2	RT @OhioState: For student Courtney Anderson, running a startup, Casper &amp; Coal LLC, is just another part of her college experience. https:/…
Dawniewouldnt	@SebGorka @RepHagan @OhioACEP @OhioStAthletics @OhioStateHoops @OhioState @ohiou @OSHP @OhioFindItHere it @SebGorka… https://t.co/fcKPe5DUih
thiclikehoney	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
Jhanvi5000	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
StocktonKaitlyn	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
markkreutzer42	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
kenzie_olesky	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
Adam_Ard	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
DrewKiphart	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
DrewOnega	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
jhTheGreat	RT @danaa_04: Where's my MacBook and textbooks? @OhioState https://t.co/nAsXxJinlo
kevinkeyes13	Future #Buckeyes standout arrived yesterday just in time to watch another @OhioStateFB victory vs #ttun.… https://t.co/vJPiVurW7A
slamblockfade	@MichStatePolice @UMich @OhioState @OSHP The Ohio State Police pull over any car with a M license plate. That’s a fact. #armpitofamerica
Vance_Wingfield	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
PorterRex60	RT @RedCrossBloodOH: OSU is up by just 50 blood donations in the @RedCrossOSU @OhioState vs Xichigan #BloodBattle! Either could still win.…
OHCircuitRider	RT @OSUengineering: Our OHIO on the Road alumni event was held in that state up north last night! But instead of the @OhioState-@UMich riva…
THEbukiluv	RT @EricMGeorge: Best. Shirt. Ever. @OhioState @OhioStFootball @11W @OSUCoachMeyer #BuckeyeNation #BeatTTUN #BeatXichigan https://t.co/Ml75…
westinappleton	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
creekbear	@QuntumEntanglr @OhioState @UMich That’s $10k the school didn’t get. Does UM want to get stiffed too?
QuntumEntanglr	@creekbear @OhioState @UMich I think that's a thing with nazis. Shitler doesn't pay his bills either...
lisam02184	RT @OhioState: It was a 🌧 soggy day at #theShoe, but that didn’t keep senior #Buckeyes from one final Carmen Ohio with their fans. 🏈 #gobuc…
FoodMentum	Brilliant ideas are always welcome and the researchers at the @OhioState have had a great one: using #foodwaste as… https://t.co/90lMdvdkH2
samm_jamm	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
creekbear	@QuntumEntanglr @OhioState @UMich Spencer didn’t pay the bill for the hall he rented in FL
JROB2	Had fun speaking at @DRCOhio colleague @OhioState Dr Brian Kowalski’s Criminal Justice class on prison violence. Gr… https://t.co/T4gSIseHKa
gracie_baker1	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
gemofloyalty	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
al__howie	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
mkaywatts19	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
Madeline_Bauer_	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
JacobRitzic	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
QuntumEntanglr	One more reason The @OhioState is better than @umich - we told that nazi asshole to fuck off. Come on, ❌ichigan, do… https://t.co/XHrjv809QR
CaseyInCMH	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
naomilyra	RT @timesgazette: .@Ashland_Arrows swimming phenom Hudson McDaniel commits to The Ohio State University @ohiostate. https://t.co/1SelNSORSs
coldenschemmel	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
ArrowsAD	RT @timesgazette: .@Ashland_Arrows swimming phenom Hudson McDaniel commits to The Ohio State University @ohiostate. https://t.co/1SelNSORSs
Buckeyelovve	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
PChloe_13	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
EricNutty4	Saturday, Dec 2nd:  CBB - Ohio St at Wisconsin  CFB - Ohio St vs Wisconsin  It's gonna be a really fun day.  @OhioState @Wisconsin @bigten
niandashholla	So happy I was accepted to @OhioState !!! Go Bucks:):):)
t_bleWit	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
JudahKing9	@daveyobrien @OhioStAthletics @OSUAthletics @OU_Football @CowboyFB @OhioStateFB @okstate @OhioState Wow Lamar Jackson can't get no love ???
grahamcochran	RT @OSU_IntAgr: .@CFAES_OSU welcomed to @OhioState two partners from #SouthAfrica -Dept. of Rural Development &amp; Agrarian Reform in Eastern…
Zac_dreamWeaver	RT @MJVillarreal12: Letters are hard @OhioState #GoBlue #FuckOhio https://t.co/1A6kJK3xvE
kdladybug8	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
addisennholtt	RT @timesgazette: .@Ashland_Arrows swimming phenom Hudson McDaniel commits to The Ohio State University @ohiostate. https://t.co/1SelNSORSs
LindseySeale03	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
MJVillarreal12	Letters are hard @OhioState #GoBlue #FuckOhio https://t.co/1A6kJK3xvE
DaniTrunzo	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
woahbeka	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
Nikki_schuster	RT @timesgazette: .@Ashland_Arrows swimming phenom Hudson McDaniel commits to The Ohio State University @ohiostate. https://t.co/1SelNSORSs
MrStout_US	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
HudsonZoom	RT @timesgazette: .@Ashland_Arrows swimming phenom Hudson McDaniel commits to The Ohio State University @ohiostate. https://t.co/1SelNSORSs
wosunews	Two years after the death of an @OhioState student, Mirror Lake is still under redevelopment. It's slated to reopen… https://t.co/vnY0nvAg3G
volofish	RT @timesgazette: .@Ashland_Arrows swimming phenom Hudson McDaniel commits to The Ohio State University @ohiostate. https://t.co/1SelNSORSs
_jugad	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
J_Glass98	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
educationgadfly	The literature on collective efficacy in K–12 education is new and growing, spearheaded largely by Roger D. Goddard… https://t.co/VIOmtR1H4P
RyannSmitth	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
raychel99	RT @OhioState: Tomorrow is the last day to #beatTTUN! See how you can help us in the @RedCross #BloodBattle: https://t.co/u21vLnjDI3 https:…
gourmetJoyce	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
neennash	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
AbbeyZedaker	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
cheri_macd	RT @OhioState: RT if you ❤️ the Oval as much as this guy. #MyOhioState https://t.co/0hKAupBgUT
emilymalick	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
ariannagatz	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
tay_rizzuto	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
lsparks4	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
jasonp_eggert	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
ToddSeidt	@daveyobrien @OhioStAthletics @OSUAthletics @OU_Football @CowboyFB @OhioStateFB @okstate @OhioState You forgot @Lj_era8
timesgazette	.@Ashland_Arrows swimming phenom Hudson McDaniel commits to The Ohio State University @ohiostate. https://t.co/1SelNSORSs
DatAshCray	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
OSUSWE	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
c_pattz	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
cathannkress	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
wrightzian	RT @eric_rutter: Angela Kately received confirmation that she was accepted to her first choice school. Angela will start the @OhioState in…
ColumbusGov	RT @OhioState: We are down by 80 pints to @UMich in the @RedCross #BloodBattle. You can give today with @RedCrossOSU at the @ohiounion from…
mkb1215m	RT @RedCrossBloodOH: OSU is up by just 50 blood donations in the @RedCrossOSU @OhioState vs Xichigan #BloodBattle! Either could still win.…
imranshrimp	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
allisonhamil10	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
MARCHMADNESS101	RT @OhioState: A great tradition at the Great Wall! Thanks to our dance majors for the #OHIO from China. https://t.co/PIqoRv2MvM
jacobhoward_23	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
JenB1217	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
rustinmooredvm	Congratulations to Dr. Li Wu, professor in the @OSUVetCollege, who was elected to prestigious honor as a 2017 Fello… https://t.co/H3tL94FvaY
jaimekeily	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
EricMGeorge	Best. Shirt. Ever. @OhioState @OhioStFootball @11W @OSUCoachMeyer #BuckeyeNation #BeatTTUN #BeatXichigan https://t.co/Ml75Eu7uvF
samhigginss_	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
mariagrund4	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
_evanharris	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
_camryna	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
TheRealBakeShow	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
bribrowneeee	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
merejohnson32	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
joesph_wiencek	Spreading @OhioState tradition at @UVA for my first Department Potluck! Glad I saved a few homemade #Buckeyes for w… https://t.co/LseTpsHTft
sydneyjennings	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
rizzy_10	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
nataliexhale	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
ElyseChengery	One day left... Did you hear me?! ONE MORE DAY! The Blood Battle ends Wednesday... You can help beat ❌ichigan and h… https://t.co/t4Dsvnesbn
RealMooseyStyle	@daveyobrien @OhioStAthletics @OSUAthletics @OU_Football @CowboyFB @OhioStateFB @okstate @OhioState Lamar Jackson is the G.O.A.T
Ariamayvenn12	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
__sierrasays	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
scottdeopere	@daveyobrien @OhioStAthletics @OSUAthletics @OU_Football @CowboyFB @OhioStateFB @okstate @OhioState Lol this is jus… https://t.co/I2hb8IWW0V
emschob	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
GRuiz	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
SStryffeler	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
alyssaleeann16	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
oliviagutentag	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
KinggNella	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
MichajaWilson	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
TopNotchFonz	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
kaitlinkaiser10	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
VictorvanBuchem	RT @OhioState: Our @KnowltonOSU students are building #architecture knowledge in Cuba, Chile and Taiwan. 🇨🇺🇨🇳🇹🇼 https://t.co/zQI92unZ17 #Bu…
lifespreadsheet	I met with former FCC chairman @TomWheelerFCC a couple times in my old job @OhioState . Brilliant dude. He had some… https://t.co/Fp7ndrJ7RY
ShannonCFB	I'm at Ohio Stadium - @ohiostate in Columbus, OH https://t.co/p534GwhhER
TheHummusapien	RT @OhioState: From chemistry class to owning three #Columbus restaurants, alumni @TheHummusapien and Abed Alshahal are changing the way we…
jboxstef	@ASCatOSU @MockTrialOSU @OhioState Huge thanks to Carter Phillips and @SidleyLaw
kelli_killman	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
garybartanus	RT @OhioState: Before you remove the #turkey from the freezer this week, read these food safety tips from @CFAES_OSU. 🦃 https://t.co/5PdJuc…
BTNLiveBIG	How @OhioState students are #engineering impact and building hope in rural #Honduras.   https://t.co/EbZNfxCNjz https://t.co/pE7yETd0KY
MockTrialOSU	@ASCatOSU @OhioState Thank you so much for this feature!!
MockTrialOSU	RT @ASCatOSU: The evidence is clear: @OhioState’s student mock trial team knows its way around the courtroom. @MockTrialOSU https://t.co/6u…
HaydenMcBee10	RT @OhioState: Tomorrow is the last day to #beatTTUN! See how you can help us in the @RedCross #BloodBattle: https://t.co/u21vLnjDI3 https:…
RedCrossBloodOH	RT @OhioState: Tomorrow is the last day to #beatTTUN! See how you can help us in the @RedCross #BloodBattle: https://t.co/u21vLnjDI3 https:…
djFreshNess	RT @OhioState: Tomorrow is the last day to #beatTTUN! See how you can help us in the @RedCross #BloodBattle: https://t.co/u21vLnjDI3 https:…
davidsnider_	@OhioState Nice try. #GoBlue https://t.co/NPeqQebl7D
jhay1979	I am co teaching a with my friends from @michiganstateu and @OhioState "Ag Solar Electric Investment Analysis Web S… https://t.co/HvkonWKYMO
calebryski	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
OSUGlobal	Featuring soldiers in Fuerzas Comando competition in Paraguay, "Majesty of Morning" by Elizabeth Williams is Honora… https://t.co/xabGo3Q1cy
CottrillDara	@daveyobrien @OhioStAthletics @OSUAthletics @OU_Football @CowboyFB @OhioStateFB @okstate @OhioState I vote for Lama… https://t.co/J4YBmPtdXN
marissa_boyles	@DanuelTheManuel @OhioState Yay congrats!!
maddie_fickes	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
BNicholson70	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
Dandy_Randyyy	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
BattelleCareers	This video shows how a group of central Ohio businesses teamed for a smarter approach to roofing #RoofMaxx… https://t.co/tzLPpblNuW
baysmayes	RT @OhioState: It's that ti❌e of year. 😎 #BeatTTUN #MyOhioState https://t.co/h78TA4M0lf
