jedyorkgoat	@bdepouw09 @OhioState @NCAA suck my ass
UCMJOATH	#Buckeyes: Zero f****** reason 4 this kind of playin after the first two losses! Urban &amp; his entire staff should be… https://t.co/F3EOq3YRC6
Doughboy9047	@OhioState you’ll always be known as the birthplace of #CharlesManson #GoBlue #OSUvsMICH
kubii14	@BaileyArick @OhioState Congrats !
smoorea99	Sorry gotta go get my spot in @umichband brb @OhioState
IamNautiical	RT @FOXSportsOH: It's almost ⏰ for The Ga❌e!  But first, relive our @OhioState vs. TTUN baby race. #BeatMichigan https://t.co/xQ9PzGV8VQ
AnnKLund	@OhioState What the heck football team?  Get intbe game.  😴asleep instead of coming to play
pag3agl3ston3	RT @OhioState: Awww, aren't they cute?! #BuckeyeBabies 👶 born this week (11/20-11/25) @OSUWexMed will receive a "#BeatMichigan" sleep sack…
FaroukShagari	RT @UMichResearch: Beyond the gridiron, @UMich and @OhioState combined for more than $2.2 billion in research expenditures in FY 2016, spur…
Brian_Million	Watching this @OhioState v @UMich like... https://t.co/3fFZeiXjvi
Maudyyy_B	RT @OhioState: Did so❌eone say BINGO? Download your Buckeye Bingo board to play along during the ga❌e! #BeatTTUN https://t.co/X8rNnOplVh
jallabh	Looks like the week 2 and 9 Buckeye team showed up for the 1st Q. Offensive yards: -6. C’mon man!!!! @… https://t.co/dxeSTBeV1j
StephRNxo	wtf is @OhioState even doing. come on guys!!!
15Barton	Screw @DIRECTV  I can't watch the da❌n @OhioState ga❌e!!!
meghahan	Tackle much @OhioState ?
jackhebert2000	@Lspring9 @OhioStAthletics @OhioState @OhioStateFB My man growing up
gpalapa2	RT @UMichSurgery: The @UMich-@OhioState rivalry goes beyond the football stadium—and can even improve your laparoscopic skills. Here’s this…
DCBrownsBackers	RUN THE BALL!!! RUN THE BALL!!! RUN THE BALL!!! RUN THE BALL!!! RUN THE BALL!!! RUN THE BALL!!! RUN THE BALL!!! RUN… https://t.co/0RGArF7nGb
dabish26	@OhioState Offensive coordinator is the best.  Is he old Browns coach
theothercorey	@BeccaMitro @OhioState Watching with my brother in law at his place who is a Michigan fan. Kill me
MByrd_704	O state baby !!! Let’s go @OhioState @OhioStAthletics @OhioStateFB @OhioState_WBB @espn !!!
dianekephart	RT @OhioState: Did so❌eone say BINGO? Download your Buckeye Bingo board to play along during the ga❌e! #BeatTTUN https://t.co/X8rNnOplVh
HiHarles	RT @OhioState: Awww, aren't they cute?! #BuckeyeBabies 👶 born this week (11/20-11/25) @OSUWexMed will receive a "#BeatMichigan" sleep sack…
gourmetJoyce	RT @FOXSportsOH: It's almost ⏰ for The Ga❌e!  But first, relive our @OhioState vs. TTUN baby race. #BeatMichigan https://t.co/xQ9PzGV8VQ
SeanOSulliban	@OhioState These uniforms are as hideous as the Buckeyes play. Get it together. #TheGame
CurtWalter33	@DCBrownsBackers @OhioState Yep, but I'm a PSU fan so they got me hoping this is like Iowa.
buckeyefan2372	RT @FOXSportsOH: It's almost ⏰ for The Ga❌e!  But first, relive our @OhioState vs. TTUN baby race. #BeatMichigan https://t.co/xQ9PzGV8VQ
AileenRapton	Go Buckeyes!!!  @OhioStateFB @OhioStAthletics @OhioState @DominicRapton https://t.co/wB9Gp2yuN3
BeccaMitro	Who’d of thunk I’d be watching The Game in my in-laws house in Cle with 8 family members and I was the only one who… https://t.co/kpuQUytvoH
Minyawn	RT @OhioState: Awww, aren't they cute?! #BuckeyeBabies 👶 born this week (11/20-11/25) @OSUWexMed will receive a "#BeatMichigan" sleep sack…
DCBrownsBackers	Whelp it's a game. Better wake up #Buckeyes or you're going to be down by 14 real quick. Game reminding me of Iowa.… https://t.co/vmlMpnDvlx
shamanalix	.@OhioState Uniforms look really ugly today, Bucks. Especially helmets. #yuck
klkelly06	@OhioState it maybe a long day for bucs @UMichFootball
Jayden_ONeill16	RT @OhioState: Did so❌eone say BINGO? Download your Buckeye Bingo board to play along during the ga❌e! #BeatTTUN https://t.co/X8rNnOplVh
sodexoUSA	We are out here feeding The Big House today! Thank you to our employees and volunteers who are making sure that the… https://t.co/mA9tuWt9kL
Minyawn	RT @KetchamPaul: “The Game” is here! Go Bucks, Beat ❌ichigan! O-H... @OhioStateFB @OhioStAthletics @11W #OSUvsMICH  @OhioState @Brutus_Buck…
BaileyK_16	RT @FOXSportsOH: It's almost ⏰ for The Ga❌e!  But first, relive our @OhioState vs. TTUN baby race. #BeatMichigan https://t.co/xQ9PzGV8VQ
Dshive	Take that @OhioState #GoBlue @UMich
Lspring9	@cole_vuurmans @OhioStAthletics @OhioState @OhioStateFB Thanks man
CoachFinamore	Big time college football game going on in Ann Arbor. @Michigan vs @OhioState  @gusjohnson on the call - my favorite play-by-play guy!
ashley_geiss	RT @OhioState: Awww, aren't they cute?! #BuckeyeBabies 👶 born this week (11/20-11/25) @OSUWexMed will receive a "#BeatMichigan" sleep sack…
emmiieeann	Alright @OhioState let's maybe get a lead in this game so we don't need to dig ourselves out if a hole.... 😑❤️🌰 #letsgobuckeyes
NLTIV	RT @OhioState: Did so❌eone say BINGO? Download your Buckeye Bingo board to play along during the ga❌e! #BeatTTUN https://t.co/X8rNnOplVh
cole_vuurmans	@Lspring9 @OhioStAthletics @OhioState @OhioStateFB Congratulations bro
mooreky5	RT @FOXSportsOH: It's almost ⏰ for The Ga❌e!  But first, relive our @OhioState vs. TTUN baby race. #BeatMichigan https://t.co/xQ9PzGV8VQ
_mcknightst	RT @FOXSportsOH: It's almost ⏰ for The Ga❌e!  But first, relive our @OhioState vs. TTUN baby race. #BeatMichigan https://t.co/xQ9PzGV8VQ
sportssocialel1	RT @FOXSportsOH: It's almost ⏰ for The Ga❌e!  But first, relive our @OhioState vs. TTUN baby race. #BeatMichigan https://t.co/xQ9PzGV8VQ
smess23	@KetchamPaul @OhioStateFB @OhioStAthletics @11W @OhioState @Brutus_Buckeye Big blue nation Paul.  #Wolverines #knockinOSU out
DevinScottKrug3	RT @Kamsgram07Hans: @paulafaris Good Luck today, may the force be with you #Michigan fans. Go #Buckeyes , @OhioState
MsThornburg	RT @FOXSportsOH: It's almost ⏰ for The Ga❌e!  But first, relive our @OhioState vs. TTUN baby race. #BeatMichigan https://t.co/xQ9PzGV8VQ
UMengineering	RT @UMichResearch: Beyond the gridiron, @UMich and @OhioState combined for more than $2.2 billion in research expenditures in FY 2016, spur…
kayleefillers	RT @OhioState: Awww, aren't they cute?! #BuckeyeBabies 👶 born this week (11/20-11/25) @OSUWexMed will receive a "#BeatMichigan" sleep sack…
mcohorst	RT @sfalliance: .@OhioState and @UMich students team up for farmworker justice at rivalry football game! Hundreds are learning about @ciw's…
CrownTheUndead_	RT @OhioState: Did so❌eone say BINGO? Download your Buckeye Bingo board to play along during the ga❌e! #BeatTTUN https://t.co/X8rNnOplVh
ptgamer40	@ohiostate has big Nut and buckeye guy 😳 but hey it’s not Ann Coulter and Ben Carson!
CidWilson	Getting ready to watch America’s greatest rivalry game in all of sports history: @OhioStateFB vs. @UMichFootball. P… https://t.co/sfznNZat76
TrueToBestInYou	RT @RedCrossBloodOH: The @OhioState University @RedCrossOSU has won the 2017 #BloodBattle against @UMich by 53 donations! Thanks to all who…
MahSafeCom	Here we go #Bucks! Celebrate @OhioState victory by designating a sober driver. #DriveSoberOrGetPulledOver @OSHP… https://t.co/ZP6pwpunce
thectfoster	RT @FOXSportsOH: It's almost ⏰ for The Ga❌e!  But first, relive our @OhioState vs. TTUN baby race. #BeatMichigan https://t.co/xQ9PzGV8VQ
ptgamer40	Hey @FOXSports please put actual @OhioState graduates on hype video. Buckeye Guy and Big Nut are clowns it’s embarrassing.
